model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
dnn,0.9508707607699358,0.022297836662992992,0.7449447536737028,0.0423182639366876,0.32589724310776946,0.08203489135714535,0.5266666666666666,0.10029555122286178,0.3904746233199728,0.06936278533009736,0.38511444835599307,0.05837450239041084,0.8818451339845792,0.05899091332263382,0.34170606515200286,0.04486392484468926
ensemble,0.9604032997250229,0.007842071360662657,0.7177775448121095,0.04715028618550755,0.36223540294933887,0.08100659859626191,0.46064516129032257,0.09833155492021925,0.39711056784227516,0.05763659169342731,0.3846069608250887,0.06096738970327556,0.9083867793544869,0.0357875221128916,0.3574477198114809,0.04709507193859306
ensemble@0.50,0.9336388634280477,0.028359546313431253,0.7668496839857359,0.0738772873480326,0.25593375538019575,0.07915382393419561,0.5901075268817204,0.1699713985720068,0.34443722378822417,0.08249925950640591,0.35402842142547974,0.08020076385162735,0.9083867793544869,0.0357875221128916,0.3574477198114809,0.04709507193859306
gnb,0.943538038496792,0.00666027575603478,0.7626574167504674,0.06697921272821866,0.2652351790509685,0.03248919115629908,0.5709677419354838,0.14134775677552672,0.3596541533301988,0.05584814181330303,0.36286191474666474,0.06883288199034554,0.906193284890497,0.029521403560776857,0.268576402176506,0.04845933445670753
