model,threshold,accuracy,balanced_accuracy,precision,recall,f1_score,mcc,roc_auc,pr_auc,tn,fp,fn,tp
LogisticRegression,0.89,0.9514207149404217,0.8027693244065733,0.3225806451612903,0.6451612903225806,0.43010752688172044,0.4345823808360823,0.9434570906877663,0.3714739123461729,1018,42,11,20
GaussianNB,0.99,0.9505041246562786,0.8336122945830797,0.3283582089552239,0.7096774193548387,0.4489795918367347,0.46176226833054146,0.9509129640900791,0.3162094463536357,1015,45,9,22
DecisionTree,0.8,0.9294225481209899,0.8071059038344491,0.23863636363636365,0.6774193548387096,0.35294117647058826,0.3747659608988562,0.8943548387096775,0.24408682703799617,993,67,10,21
RandomForest,0.45,0.9486709440879927,0.8326688983566646,0.3188405797101449,0.7096774193548387,0.44,0.4541778833201243,0.9546865489957396,0.3884643055731281,1013,47,9,22
HistGradientBoosting,0.08,0.9266727772685609,0.8683201460742545,0.25252525252525254,0.8064516129032258,0.38461538461538464,0.42610420105542607,0.9531953743152769,0.4510136421759636,986,74,6,25
